Date,Species,Antibody_status
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
19/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
20/12/2007,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
23/01/2008,MN,neg
